Fname,Lname,University,Dept,PhD,href
Vitaly,Nishanov,University of Washington,Business,Ural State University ,http://foster.uw.edu/faculty-research/directory/vitaly-nishanov/
Richard,Nolan,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/richard-l-nolan/
Shaosong,Ou,University of Washington,Business,University of Southern California ,http://foster.uw.edu/faculty-research/directory/shaosong-ou/
Robert,Palmatier,University of Washington,Business,University of Missouri ,http://foster.uw.edu/faculty-research/directory/robert-palmatier/
Zoe-Vonna,Palmrose,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/zoe-vonna-palmrose/
Joe,Paperman,University of Washington,Business,Cornell University ,http://foster.uw.edu/faculty-research/directory/joe-paperman/
Manoj,Parameswaran,University of Washington,Business,The University of Texas at Austin ,http://foster.uw.edu/faculty-research/directory/manoj-parameswaran/
Paige,Patrick,University of Washington,Business,"University of Colorado, Boulder ",http://foster.uw.edu/faculty-research/directory/paige-patrick/
Martha,Pilcher,University of Washington,Business,Georgia Institute of Technology ,http://foster.uw.edu/faculty-research/directory/martha-pilcher/
Phillip,Quinn,University of Washington,Business,University of Iowa ,http://foster.uw.edu/faculty-research/directory/phillip-quinn/
Raj,Rakhra,University of Washington,Business,undefined,http://foster.uw.edu/faculty-research/directory/raj-rakhra/
Kavasseri,Ramanathan,University of Washington,Business,Northwestern University ,http://foster.uw.edu/faculty-research/directory/kavasseri-ramanathan/
Jane,Reich,University of Washington,Business,Boston University ,http://foster.uw.edu/faculty-research/directory/jane-reich/
William,Resler,University of Washington,Business,New York University ,http://foster.uw.edu/faculty-research/directory/william-resler/
Jane,Reynolds,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/jane-reynolds/
Scott,Reynolds,University of Washington,Business,University of Minnesota ,http://foster.uw.edu/faculty-research/directory/scott-reynolds/
Jack,Rhodes,University of Washington,Business,University of Washington ,http://foster.uw.edu/faculty-research/directory/jack-rhodes/
Edward,Rice,University of Washington,Business,"University of California, Los Angeles ",http://foster.uw.edu/faculty-research/directory/edward-rice/
Steven,Rice,University of Washington,Business,University of Texas ,http://foster.uw.edu/faculty-research/directory/steven-rice/
Oliver,Rutz,University of Washington,Business,"University of California, Los Angeles ",http://foster.uw.edu/faculty-research/directory/oliver-rutz/
